id;cardType;alignment;name;rarity;text;flavourText;illustrator;edition
1;Operation;Corporation;Accounts Receivable;common;Gain ➒.;If we don't receive payment in full by tomorrow, we'll be ogliged to repossess. But ... But the equipment's already been installed in our employees.;Zak Plucinski;Limited
2;Operation;Corporation;Annual Reviews;uncommon;Draw three cards.;Just between you and me, this wouldn't be a bad time to impose the boss with your initiative.;John Ramirez;Limited
3;Operation;Corporation;Audit of Call Records;common;Play only if Runner attempted two or more runs during his or her last turn. Trace5 - If trace is successful, give Runner a tag.;;Tony Luke;Limited
4;Operation;Corporation;Chance Observation;common;Play only if Runner attempted a run during his or her last turn. Trace5 - If trace is successful, give Runner a tag.;;John Ramirez;Limited
5;Operation;Corporation;Closed Accounts;uncommon;Play only if Runner is tagged. Runner loses all bits.;Watch out for the blast shelters First Eurobank builds around its ATMs. They may be great for the rubes, but if some corp has marked your account as illegal, The shelter will seal you in until the cops come. - Kiyote;Randy Gallegos;Limited
6;Operation;Corporation;Corporate Detective Agency;uncommon;Play only if Runner is tagged. Trash up to two resources, at no cost.;;Zak Plucinski;Limited
7;Operation;Corporation;Datapool® by Zetatech;uncommon;Play only if Runner is tagged. Give Runner two tags.;The enemy of your enemy is sometimes also your enemy.;James Allen Higgins;Limited
8;Operation;Corporation;Day Shift;uncommon;Draw two cards and gain ➊.;I'm sick of punching the clock. I want to punch my supervisor.;Zak Plucinski;Limited
9;Operation;Corporation;Edgerunner Inc. Temps;uncommon;Gain three consecutive actions, which you may use only to install cards. You are not required to take all three of these actions.;Just remember to sweep the fort for back doors once they're done.;Zak Plucinski;Limited
10;Operation;Corporation;Efficiency Experts;common;Gain ➌.;Waste not, want not.;John Ramirez;Limited
11;Operation;Corporation;Falsified-Transactions Expert;rare;Move up to three advancement counters from one card to another installed card that can be advanced.;;Craig Gilmore;Limited
12;Operation;Corporation;Management Shake-Up;common;Add three advancement counters to any combination of installed cards that can be advanced.;Don't be irreplaceable. If you can't be replaced, you can't be promoted.;Zak Plucinski;Limited
13;Operation;Corporation;Netwatch Credit Voucher;common;Play only if Runner is tagged. Give Runner a tag, and gain ➊.;;Margaret Organ-Kean;Limited
14;Operation;Corporation;New Blood;rare;Conceal all revealed but unrezzed ice; then rearrange your installed ice by swapping pairs of ice while Runner looks away. I hate newbie sysops. They always rearrange our ice into some weird configuration just because it matches some stupid question on their finals.;Mike Kimble;Limited
15;Operation;Corporation;Night Shift;common;Gain ➋ and draw one card.;It wasn't until my certification boards that it began to dawn on me that nights aren't infinitely long.;Zak Plucinski;Limited
